Geneid	Sam1	Sam2	Sam3
Tropicibacter multivorans	0.000122905	3.04e-05	0
Pseudomonas brassicacearum	0.000119598	3.45e-05	0
Collinsella sp. CAG:166	0	0.000154224	0
Butyricicoccus sp. K4410.MGS-46	1.31e-05	7.72e-05	6.43e-05
Coprococcus sp. CAG:131	0	0.000155369	0
Enterobacter asburiae	1.54e-05	0.000139997	0
Rhodococcus rhodochrous	0.000124607	3.11e-05	0
Enterococcus avium	0.000155998	0	0
Prevotella sp. CAG:1031	0	0.00013009	2.64e-05
Enterobacteria phage IME10	6.21e-05	0	9.48e-05
Veillonella sp. oral taxon 158	0	0.000138111	1.9e-05
Acidovorax sp. 12322-1	4.99e-05	0.00010885	0
Mesorhizobium sp. L2C054A000	0.000127217	3.17e-05	0
Mycobacterium cosmeticum	0.000127575	3.17e-05	0
[Clostridium] glycyrrhizinilyticum	2.05e-05	6.65e-05	7.28e-05
Leptotrichia sp. oral taxon 879	2.88e-05	0.000132538	0
Ruminococcus sp. SR1/5	0	6.77e-05	9.49e-05
Eggerthella sp. HGA1	4.92e-05	0.00010007	1.35e-05
Campylobacter concisus	0	0.00016346	0
Butyricicoccus sp. N54.MGS-46	1.02e-05	8.66e-05	6.67e-05
Clostridia bacterium UC5.1-1D1	8.83e-06	8.75e-05	6.72e-05
Eggerthella sp. 1_3_56FAA	3.51e-05	0.000118024	1.09e-05
Vibrio owensii	0.000131817	3.25e-05	0
Pseudomonas syringae pv. coryli	0.000132414	3.29e-05	0
Herbaspirillum sp. RV1423	0.000132898	3.3e-05	0
Streptococcus suis	3.09e-05	0.000102198	3.44e-05
Clostridium sp. CAG:75	9.65e-05	7.2e-05	0
Clostridium sp. A254.MGS-251	9.59e-06	0.000102001	5.93e-05
Burkholderia sp. WP42	4.41e-05	0.000127012	0
Fusobacterium varium	2.76e-05	8.2e-05	6.17e-05
Parabacteroides sp. ASF519	0	0.000145623	2.64e-05
Escherichia sp. TW09308	0.000173076	0	0
Firmicutes bacterium CAG:114	0	0.000173264	0
Mycobacterium aurum	0.000139907	3.47e-05	0
Odoribacter laneus CAG:561	0	5.69e-05	0.000119192
Prevotella sp. P5-60	5.69e-05	3e-05	8.92e-05
Fusobacterium sp. CAG:649	0	0.000178175	0
Saccharomonospora viridis	0.000178798	0	0
Eubacterium sp. SN18	2.18e-05	8.16e-05	7.55e-05
Lactobacillus sp. N15.MGS-260	0	0.000111944	6.74e-05
Collinsella sp. 4_8_47FAA	0	0.000180093	0
Clostridiales bacterium VE202-07	9.57e-05	8.47e-05	0
Burkholderia sp. KJ006	4.54e-05	0.000135169	0
Vibrio mediterranei	0.000144766	3.6e-05	0
Streptococcus dysgalactiae	1.32e-05	0.000105769	6.21e-05
Grimontia marina	0.000144986	3.63e-05	0
Grimontia sp. 96-237	0.00014598	3.61e-05	0
Moorella glycerini	0.000146428	3.57e-05	0
Klebsiella variicola	9.35e-06	0.000173179	0
Blautia sp. KLE 1732	1.45e-05	8.73e-05	8.15e-05
Erysipelotrichaceae bacterium 3_1_53	1.98e-05	0.000137447	2.62e-05
Enterococcus sp. 7L76	0.00018369	0	0
Clostridia bacterium UC5.1-2F7	5.38e-05	9.77e-05	3.25e-05
Solobacterium moorei	8.06e-06	0.000108202	6.82e-05
Clostridiales bacterium VE202-09	0	0.000155817	2.92e-05
Leisingera aquaemixtae	0.00014828	3.75e-05	0
Desulfitobacterium hafniense	0.000149075	3.69e-05	0
Gardnerella sp. 30-4	0	0.000187404	0
Bacteroidales bacterium H2	0	0.00014006	4.74e-05
Carnobacterium sp. N15.MGS-251	1.75e-05	0.000114904	5.61e-05
Alistipes sp. N15.MGS-157	7.97e-06	0.000120537	6.05e-05
Pseudomonas pseudoalcaligenes	0.000151688	3.77e-05	0
Vibrio hemicentroti	0.000152158	3.78e-05	0
Labrenzia alexandrii	0.000152916	3.77e-05	0
Escherichia sp. TW09231	0.000115253	7.69e-05	0
Vibrio celticus	0.00015429	3.84e-05	0
Acidaminococcus intestini	4.58e-05	0.000147814	0
Aquimarina megaterium	0.000155285	3.85e-05	0
Mycobacterium sp. WCM 7299	0.000151153	4.53e-05	0
Pantoea vagans	0.000157652	3.91e-05	0
Veillonella tobetsuensis	0	9.92e-05	9.77e-05
Prevotella sp. P5-119	0.000116623	4.4e-05	3.69e-05
Thauera phenylacetica	0.000158509	3.97e-05	0
bacterium OL-1	0.000199219	0	0
Erysipelotrichaceae bacterium CAG:64	7.61e-05	0.000123307	0
Serratia liquefaciens	0.00015392	4.56e-05	0
Escherichia sp. TW11588	0.000165338	3.47e-05	0
Mycoplasma mycoides	0.00014521	5.51e-05	0
Erysipelotrichaceae bacterium 2_2_44A	1.94e-05	0.000165592	1.59e-05
Clostridium sp. CAG:264	0	0.000201509	0
Erysipelotrichaceae bacterium 21_3	6.77e-05	0.000134226	0
Anaerotruncus colihominis	3.32e-05	0.000125047	4.42e-05
Bibersteinia trehalosi	0.000203516	0	0
Pedobacter sp. V48	0.000164322	4.01e-05	0
Citrobacter freundii	0.000132169	7.24e-05	0
Blautia sp. GD8	1.72e-05	7.52e-05	0.000112742
[Clostridium] innocuum	3.38e-05	0.000154287	2.02e-05
Vibrio atlanticus	0.00016685	4.16e-05	0
Pseudogulbenkiania ferrooxidans	0.000167445	4.15e-05	0
Escherichia phage pro483	0	0	0.000209196
Clostridiales bacterium VE202-01	0	3.81e-05	0.000171407
Xanthomonas bromi	0.000167746	4.18e-05	0
uncultured Clostridium sp.	2.34e-05	0.000126045	6.05e-05
Enterococcus sp. 1140_ESPC	0.000210217	0	0
Eubacterium sp. UNK.MGS-26	2.7e-05	0.000184104	0
Escherichia sp. TW09276	0.00010961	0.000101798	0
Eubacterium sp. UNK.MGS-25	2.79e-05	0.000183724	0
Clostridium phage phiCD111	0	0.000212048	0
Holdemania filiformis	9.01e-06	9.28e-05	0.000111042
Bacteroidales bacterium H3	7.61e-06	7.16e-05	0.000133655
Pseudomonas pelagia	0.000170991	4.26e-05	0
Xenorhabdus cabanillasii	0.000173349	4.28e-05	0
Enterobacteria phage phi80	2.67e-05	0.000190958	0
Comamonas kerstersii	7e-05	0.000147728	0
Tannerella sp. CAG:51	1.01e-05	6.56e-05	0.00014208
Ruegeria sp. CECT 5091	0.000174941	4.31e-05	0
Clostridium sp. GD3	7.79e-05	6.62e-05	7.42e-05
Bacteroides coprosuis	0.000186474	3.2e-05	0
Megamonas funiformis	8.88e-05	0.000129826	0
Thalassobius sp. CECT 5114	0.000175375	4.33e-05	0
Salmonella phage SPN9CC	0	0.000219615	0
candidate division TM6 bacterium Zodletone_IIa	0.000219885	0	0
Cellulophaga baltica	0.000176926	4.41e-05	0
Aeromonas rivuli	0.000177261	4.41e-05	0
Enterobacter cloacae complex 'Hoffmann cluster IV'	2.56e-05	0.000196153	0
Paenibacillus sp. FF9	0.000177703	4.44e-05	0
Bacteroides intestinalis CAG:315	1.48e-05	0.000170146	3.74e-05
Fusobacterium sp. CM1	0	0.000223471	0
[Bacteroides] pectinophilus	1.18e-05	0.000151697	6e-05
Pyramidobacter piscolens	0	0.000223584	0
Clostridium sp. CAG:226	0	0.000223643	0
Ruminococcus sp. JC304	1.25e-05	0.000133568	7.81e-05
Clostridium sp. HGF2	8.57e-05	0.000138515	0
Dysgonomonas sp. HGC4	0.000179862	4.46e-05	0
nitrifying bacterium enrichment culture	0.000180748	4.51e-05	0
Vibrio toranzoniae	0.000180869	4.51e-05	0
Enterobacteria phage mEp237	2.77e-05	0.000198596	0
Coprobacter fastidiosus	0	0.000165641	6.11e-05
Aeromonas sp. EERV15	0.000182055	4.59e-05	0
Thalassobius gelatinovorus	0.0001828	4.53e-05	0
Ruminococcus sp. CAG:55	0	0.000109227	0.000119428
Ruminococcus torques CAG:61	3.45e-05	0.000149966	4.42e-05
Tropicibacter naphthalenivorans	0.000182801	4.6e-05	0
Escherichia sp. KTE114	0.000133266	8.36e-05	1.29e-05
Clostridium sp. M62/1	2.08e-05	0.000144565	6.49e-05
Phaeobacter sp. CECT 7735	0.000185632	4.59e-05	0
Enterobacteria phage fiAA91-ss	0	0.000131032	0.000100676
Streptococcus anginosus	1.37e-05	0.00021886	0
Clostridia bacterium UC5.1-1D4	7.14e-05	0.000101562	6.01e-05
[Haemophilus] ducreyi	0.000142295	5.79e-05	3.31e-05
Bacteroides faecichinchillae	5.68e-05	9.7e-05	7.98e-05
Thauera aminoaromatica	0.000188988	4.7e-05	0
Oscillibacter sp. KLE 1728	5.12e-05	0.000135689	4.98e-05
Enterobacteria phage WPhi	0	0.000134817	0.000102193
Oscillibacter sp. KLE 1745	5.05e-05	0.000136782	5.24e-05
Lachnospiraceae bacterium TF01-11	2.73e-05	0.00016021	5.42e-05
Clostridiales bacterium KLE1615	1.7e-05	0.000173128	5.17e-05
Thauera linaloolentis	0.000193925	4.8e-05	0
Propionispora sp. Iso2/2	0.000193954	4.8e-05	0
Leucobacter sp. CBX151	0.000194762	4.85e-05	0
Megasphaera micronuciformis	0	0.000244586	0
Phaeobacter sp. CECT 5382	0.000196872	4.89e-05	0
[Eubacterium] siraeum	3.88e-05	9.21e-05	0.000115057
Roseovarius mucosus	0.000197739	4.91e-05	0
Kocuria sp. UCD-OTCP	0.000197552	4.93e-05	0
Thauera terpenica	0.00019904	4.87e-05	0
Pseudoalteromonas sp. SW0106-04	0.00019949	4.94e-05	0
Enterobacteria phage HK544	0	0.00025082	0
Blautia producta	6.09e-05	0.000120981	6.93e-05
Brevundimonas sp. EAKA	6.71e-05	0.000184212	0
Veillonella sp. 3_1_44	1.27e-05	0.000221961	1.71e-05
Nocardioides sp. GD13	0.000201542	5.03e-05	0
Collinsella intestinalis	0	0.000252036	0
Pseudoalteromonas luteoviolacea	0.000202196	5.03e-05	0
Saccharopolyspora rectivirgula	0.000202675	5.05e-05	0
Acinetobacter rudis	0.000202717	5.06e-05	0
Alistipes sp. CHKCI003	7.18e-05	9.83e-05	8.39e-05
Shimia marina	0.000204022	5.06e-05	0
Psychromonas sp. SP041	0.000205795	5.12e-05	0
Microbacterium sp. UCD-TDU	0.000206169	5.11e-05	0
Lactobacillus ruminis CAG:367	0	0.000257364	0
Nocardia seriolae	0.000207088	5.15e-05	0
Streptomyces sp. AW19M42	0.00020793	5.17e-05	0
Ruminococcus sp. CAG:624	0	0.000260567	0
Myroides odoratimimus	0.000260825	0	0
Eubacterium hallii CAG:12	8.59e-06	4.37e-05	0.000209477
Streptococcus salivarius	4.44e-05	0.000151822	6.64e-05
Clostridium sp. CAG:242	0	0.000264335	0
Dialister sp. CAG:588	9.88e-06	0.000254699	0
Bacteroides sp. CAG:633	0.000157833	0.000107081	0
Microbacterium sp. HM58-2	0.000212928	5.29e-05	0
Ruminococcus obeum CAG:39	2.88e-05	0.000106444	0.000130975
Bacteroidales bacterium H1	0.000115192	9.92e-05	5.34e-05
Clostridium sp. 7_3_54FAA	9.37e-05	0.000128777	4.73e-05
Eubacterium sp. CAG:192	7.84e-06	0.00011238	0.000150561
[Clostridium] saccharolyticum	3.55e-05	0.000136641	9.89e-05
Akkermansia muciniphila	1.36e-05	0.000258492	0
Coprococcus comes CAG:19	1.81e-05	0.000117384	0.000136767
Jannaschia rubra	0.000219008	5.4e-05	0
Bacteroides sp. CAG:754	0.000192758	4.23e-05	3.82e-05
Enterococcus sp. 255_ESPC	0.000273848	0	0
Rikenella microfusus	9.29e-05	7.68e-05	0.000105906
Veillonella sp. 6_1_27	1.68e-05	0.000231649	2.77e-05
Leucobacter sp. CBX130	0.00022194	5.48e-05	0
Ruminococcus sp. CAG:108	4.76e-05	0.000232222	0
Eubacterium dolichum CAG:375	1.64e-05	0.000264368	0
Thalassobacter stenotrophicus	0.00022514	5.58e-05	0
Akkermansia muciniphila CAG:154	1e-05	0.000271003	0
Marinomonas aquimarina	0.000225263	5.6e-05	0
Veillonella dispar	1.32e-05	0.000238433	3.06e-05
Flavobacterium succinicans	0.000226451	5.63e-05	0
Akkermansia sp. UNK.MGS-1	1.42e-05	0.000268676	0
Leucobacter sp. UCD-THU	0.000227744	5.64e-05	0
Prevotella denticola	0.000141894	8.5e-05	6.47e-05
Jannaschia donghaensis	0.000234168	5.83e-05	0
Riemerella columbina	0.000101105	8.26e-05	0.000110075
Ruminococcaceae bacterium 668	3.11e-05	0.000243209	2.04e-05
Eubacterium sp. 3_1_31	1.33e-05	0.000200137	8.15e-05
Leucobacter sp. CBX152	0.000236332	5.89e-05	0
Acidithiobacillus ferrivorans	0.000237341	5.86e-05	0
[Clostridium] citroniae	3.02e-05	0.000197042	7.09e-05
Geobacillus sp. MAS1	0.000239365	5.95e-05	0
Thalassobius sp. CECT 5113	0.000239499	5.96e-05	0
Acinetobacter soli	0.000239904	6.02e-05	0
Dorea sp. AGR2135	1.67e-05	0.000223216	6.35e-05
Brachybacterium muris	0.000243674	6.07e-05	0
Massilia sp. Root335	4.76e-05	0.00025816	0
[Eubacterium] hallii	9.76e-06	9.92e-05	0.00019685
Dorea formicigenerans CAG:28	1.56e-05	0.000253263	3.72e-05
Achromobacter sp.	0.000103288	0.000203427	0
Alistipes sp. Marseille-P2431	0.000140597	9.75e-05	6.87e-05
Brevundimonas diminuta	0.000242632	6.48e-05	0
Lachnospiraceae bacterium 2_1_46FAA	6.8e-05	0.000239647	0
Actinobacillus pleuropneumoniae	0.0003084	0	0
Haemophilus sp. CCUG 60358	0	0.000176394	0.000132139
Proteus vulgaris	0.000253447	5.56e-05	0
Eubacterium sp. CAG:115	0	0.000309816	0
Clostridium sp. SS2/1	1.6e-05	0.000137518	0.000156722
Prevotella sp. S7-1-8	9.03e-05	0.000120867	0.000100023
Anaerosalibacter sp. ND1	0.000250197	6.27e-05	0
Microbacterium sp. C448	0.000250251	6.36e-05	0
Prevotella sp. DNF00663	9.96e-05	0.000109219	0.000109737
Aspergillus rambellii	8.54e-05	0.000233667	0
Clostridia bacterium UC5.1-1F8	0.000114226	0.000147112	5.89e-05
Firmicutes bacterium CAG:170	9e-06	0.000311648	0
Burkholderia vietnamiensis	9.59e-05	0.000232535	0
uncultured Roseburia sp.	2.76e-05	0.000100762	0.000201949
Clostridia bacterium UC5.1-2G4	6.78e-05	0.000215312	4.73e-05
Erysipelotrichaceae bacterium 6_1_45	7.68e-05	0.00020306	5.12e-05
Prochlorococcus sp. scB241_526K3	2.2e-05	0.000311004	0
Eggerthella lenta	7.15e-05	0.000235959	2.58e-05
Aeromonas veronii	0	0.000333565	0
Clostridium sp. CAG:302	0	0	0.000335636
Prevotella pallens	0	0	0.000338051
Candidatus Bacteroides timonensis	2.87e-05	0.00016319	0.000152309
Lachnospiraceae bacterium 1_1_57FAA	4.36e-05	0.000212545	8.87e-05
Lachnospiraceae bacterium 8_1_57FAA	4.51e-05	0.00021319	8.73e-05
Jannaschia seosinensis	0.000279159	6.99e-05	0
Sulfurospirillum cavolei	0.000283552	6.99e-05	0
Bifidobacterium pseudocatenulatum CAG:263	4.34e-05	0.000288019	2.42e-05
uncultured Eubacterium sp.	2.78e-05	0.000193224	0.000138001
Eubacterium rectale CAG:36	9.19e-05	0.000243747	2.48e-05
Acinetobacter sp. MII	3.84e-05	0.0003107	1.4e-05
Prevotella sp. P4-65	5.92e-05	0	0.000304996
Clostridiales bacterium VE202-16	9.91e-05	0.000202333	6.31e-05
Prevotella sp. S7 MS 2	0.000184344	8.72e-05	9.4e-05
Coprococcus comes	3.75e-05	0.000160029	0.000168416
Bacteroides salanitronis	9.88e-05	0.000216507	5.11e-05
Lachnospiraceae bacterium CAG:364	1.79e-05	0.000350275	0
Streptococcus gallolyticus	0.000235384	0.000101444	3.34e-05
Vibrio phage pYD38-A	0	0.000370656	0
Faecalibacterium sp. CAG:74	9.11e-05	0.000281068	0
Ruminococcus bromii	7.4e-05	0.000271951	2.82e-05
Enterobacteria phage mEp460	0	0.00023439	0.000143696
Methanolacinia paynteri	0.000295222	7.3e-05	1.09e-05
bacterium LF-3	2.76e-05	0.000203494	0.00014899
Barnesiella viscericola	0.000147236	0.000134648	9.97e-05
Lachnospiraceae bacterium CAG:25	1.37e-05	0.000204203	0.000164533
Bifidobacterium aesculapii	0.000298538	7.38e-05	1.13e-05
Klebsiella quasipneumoniae	0.00010081	0.0002839	0
Prevotella dentasini	0	0	0.000390691
Xanthomonas citri	0.000304143	7.56e-05	1.13e-05
Eubacterium sp. CAG:180	0.000133335	0.000262203	0
Clostridium sp. ATCC 29733	4.17e-05	9.6e-05	0.000258793
Clostridium sp. CAG:510	0	0.000399159	0
Bacteroides clarus CAG:160	1.95e-05	7.83e-05	0.000303053
Bacteroides sp. 14(A)	3.51e-05	0.000338346	2.76e-05
Clostridium sp. CAG:91	2.9e-05	0.000315552	6e-05
Necropsobacter rosorum	0.000317927	7.85e-05	1.17e-05
Streptococcus sobrinus	4.78e-05	0.000362245	0
Ruminococcaceae bacterium cv2	2.59e-05	0.000338411	4.64e-05
Subdoligranulum sp. 4_3_54A2FAA	3.3e-05	0.000312887	6.56e-05
Peptoclostridium difficile	4.9e-05	0.000310951	5.17e-05
Ruminococcus faecis	2.68e-05	0.000187472	0.000198121
Ruminococcus sp. UNK.MGS-30	2.14e-05	0.000339039	5.36e-05
Phascolarctobacterium succinatutens	6.21e-05	0.000277854	7.47e-05
Firmicutes bacterium CAG:345	5.57e-05	0.000364006	0
Citrobacter sp. MGH103	0.000124809	0.000281175	1.47e-05
[Clostridium] asparagiforme	3.73e-05	0.000325812	5.83e-05
Ruminococcus sp. A254.MGS-254	3.06e-05	0.000287423	0.000105271
Dorea longicatena CAG:42	1.59e-05	0.000351841	5.72e-05
Necropsobacter massiliensis	0.000326645	8.62e-05	1.94e-05
Prevotella sp. P4-76	0.00022865	7.5e-05	0.000135985
[Eubacterium] dolichum	2.88e-05	0.000223891	0.000187262
Ruminococcus sp. A254.MGS-108	7.96e-05	0.000330206	3.16e-05
Saccharomyces pastorianus	5.83e-05	0.000370283	1.96e-05
Mycobacterium phlei	0.000313764	0.000124166	1.14e-05
Ruegeria atlantica	0.00034961	8.68e-05	1.3e-05
Actinomyces urogenitalis	0	0.000449497	0
Enterococcus phage phiEf11	0.000450074	0	0
Gardnerella vaginalis	0	0.000450401	0
Ruminococcaceae bacterium 585-1	2.7e-05	0.000353962	6.95e-05
Porphyromonas asaccharolytica	5.1e-05	5.38e-05	0.000345747
Streptococcus orisasini	0.000351293	8.74e-05	1.37e-05
Blautia hansenii	2.75e-05	0.000396959	2.93e-05
Marinomonas spartinae	0.00035449	8.77e-05	1.32e-05
Lachnospiraceae bacterium 3_1_46FAA	7.14e-05	0.000207368	0.000177958
Melampsora pinitorqua	7.89e-05	0.000381718	0
Clostridium clostridioforme CAG:511	0.000163887	0.000298024	0
Clostridium bolteae CAG:59	0.000296712	0.00015705	1.17e-05
Blautia sp. CAG:237	0.000372685	9.73e-05	0
Lachnospiraceae bacterium 6_1_37FAA	3.7e-05	0.000201848	0.000231392
Cetobacterium somerae	0	0.000457867	1.51e-05
Bacteroides sp. CAG:443	3.87e-05	8.58e-05	0.000352906
Salmonella enterica	0.000344963	0.000112233	2.13e-05
Lachnospiraceae bacterium 6_1_63FAA	3.85e-05	0.000414264	2.96e-05
uncultured Lachnospira sp.	3.12e-05	0.000351655	9.99e-05
Prevotella albensis	0	0	0.00048299
Anaerobaculum hydrogeniformans	0.000376438	9.26e-05	1.4e-05
Labrenzia alba	0.000378285	9.36e-05	1.41e-05
Oscillospiraceae bacterium VE202-24	0.00017691	0.000192792	0.000117624
Dialister invisus CAG:218	0	0.000243475	0.000245486
Lachnoclostridium sp. YL32	0.000489524	0	0
Komagataella pastoris	0.000372116	0.000112067	1.28e-05
Lachnospiraceae bacterium 5_1_63FAA	2.05e-05	0.000308667	0.000169262
Firmicutes bacterium CAG:24	0	0.000131782	0.00036728
Fusobacterium ulcerans	0.000222448	0.000279254	0
Escherichia sp. TW15838	0.000234417	0.000241318	2.67e-05
Prevotella melaninogenica	0.000253644	0.000197326	5.64e-05
Lactobacillus rossiae	0.000286632	0.000229823	0
Firmicutes bacterium CAG:95	0	0	0.000524414
Ruminococcaceae bacterium GD6	0.000525636	0	0
Coprococcus sp. HPP0048	3.09e-05	0.000237838	0.000263367
uncultured Dorea sp.	3.05e-05	0.000378209	0.000124888
Firmicutes bacterium CAG:124	8.43e-05	0.000457949	0
Firmicutes bacterium CAG:176	0	0.000548233	0
Bacteroides sp. CAG:530	0	3.25e-05	0.000516156
Bacteroides cellulosilyticus CAG:158	0.000133706	0.000365983	5.16e-05
Bacteroidales bacterium K10	0.000458851	9.54e-05	0
Marinomonas gallaica	0.000437891	0.000108612	1.63e-05
Prevotella amnii	0.000166029	0.000234741	0.000168342
Mesorhizobium plurifarium	0.000443986	0.000111259	1.65e-05
Dialister invisus	0	0.000264945	0.000307221
Bilophila sp. 4_1_30	3.68e-05	0.000450338	8.7e-05
uncultured phage crAssphage	0.000177435	0.000272376	0.000124483
Intestinimonas butyriciproducens	0.000148265	0.000319303	0.000109081
Clostridium sp. CAG:217	0	0.000599303	0
uncultured Ruminococcus sp.	7.66e-05	0.00032648	0.000196318
Porphyromonas uenonis	1.83e-05	0.000265776	0.000323477
Ruminococcus sp. CAG:177	2.27e-05	0.000591803	0
Enterobacteria phage P88	0	0	0.000614708
Bacteroides stercorirosoris	4.56e-05	0.000118682	0.000454287
Alistipes senegalensis	2.93e-05	0.000512973	8.18e-05
Helicobacter heilmannii	0.00048752	0.000119965	1.81e-05
Prevotella marshii	0.000335957	0.000136944	0.000161542
Psychrobacillus sp. FJAT-21963	0.000164103	0.000477813	0
Dialister sp. CAG:357	0.000387309	0.000254806	0
Ruminococcaceae bacterium D16	0.000388565	0.00018474	7.53e-05
Escherichia sp. KTE159	0.000617192	0	3.2e-05
Helicobacter ailurogastricus	0.000507162	0.0001248	1.89e-05
Lactobacillus equigenerosi	0.000507342	0.00012626	1.89e-05
Clostridium sp. CAG:127	4.84e-05	0.000609126	0
Klebsiella sp. AS10	0	0.00066112	0
Yersinia phage L-413C	0	0	0.000670788
Prevotella sp. C561	0.000219993	0.000111972	0.000340292
Ruminococcus sp. CAG:9	1.64e-05	0.000149344	0.000508037
Butyricicoccus pullicaecorum	0.000605821	4.76e-05	2.06e-05
Klebsiella sp. KGM-IMP216	7.93e-05	0.000551894	4.48e-05
Mycobacterium sp. 1482268.1	0.000161562	0.000533065	0
Enterobacteria phage cdtI	0	0.00063576	5.91e-05
Blautia sp. Marseille-P2398	2.45e-05	0.00017084	0.000507764
Bacteroides barnesiae	0.000360451	0.000203713	0.000139674
Salmonella phage HK620	0.000578206	0	0.000132513
Escherichia albertii	0.000571042	0.000109195	3.39e-05
Firmicutes bacterium CAG:65	3.86e-05	0.000550872	0.000133452
Lactobacillus ruminis	0	0.000707122	1.64e-05
Roseburia sp. UNK.MGS-15	8.28e-05	0.000280437	0.000364844
Mycobacterium mucogenicum	0.000165536	0.000564857	0
Porphyromonas crevioricanis	0.000145662	0.000488499	9.67e-05
Weissella viridescens	0.000570448	0.000142293	2.12e-05
Pseudomonas veronii	0.000372667	0.000349189	1.25e-05
Bacteroides sp. HPS0048	0.000415951	0.00021326	0.000117521
Porphyromonas bennonis	8.79e-05	0.000531618	0.000128563
Bacteroides sp. UNK.MGS-13	3.39e-05	0.000289847	0.000428811
Bifidobacterium bifidum	7.9e-05	0.000659167	2.37e-05
Faecalibacterium sp. CAG:82	2.89e-05	0.00018897	0.000548421
Ruminococcus sp. 5_1_39BFAA	2.36e-05	0.000199719	0.00054443
Nereida ignava	0.000600272	0.000149312	2.24e-05
[Clostridium] symbiosum	0.000173577	0.000470682	0.000128535
Nautella italica	0.000602612	0.000148426	2.24e-05
Bacteroides oleiciplenus	0.000160095	0.000364037	0.000259154
Coprococcus catus	2.8e-05	0.000543815	0.000213088
Thalassobius mediterraneus	0.000611882	0.000151138	2.27e-05
Candidatus Alistipes marseilloanorexicus	1.6e-05	0.000406815	0.000363775
Bacteroides rodentium	0.000119612	0.000473534	0.000196913
Klebsiella sp. MS 92-3	3.11e-05	0.000705166	6.35e-05
Bacteroides acidifaciens	0.000321838	0.00028373	0.000200166
Dialister succinatiphilus	9.73e-06	0.000798331	0
uncultured Coprococcus sp.	7.03e-05	0.00043861	0.000304741
Ruminococcus sp. Marseille-P328	5.8e-05	0.000395727	0.000361362
Klebsiella sp. 4_1_44FAA	2.85e-05	0.00073274	5.39e-05
Paracoccus denitrificans	9.3e-05	0.000725164	0
Escherichia phage pro147	0	0.00067427	0.000148022
Weeksella sp. FF8	0.000645341	0.000163153	2.41e-05
uncultured Blautia sp.	6.22e-05	0.000465993	0.000308164
Enterobacteriaceae bacterium 291_EBAC	3.38e-05	0.0007455	5.87e-05
Bacteroides clarus	5.84e-05	0.000287403	0.000499508
Roseburia intestinalis	5.06e-05	0.000595505	0.000203233
uncultured Anaerotruncus sp.	4.14e-05	0.000396977	0.000412952
Eubacterium ventriosum	2.07e-05	0.000571123	0.000267993
Clostridium hathewayi CAG:224	0.000406831	0.000325128	0.000129951
Prevotella timonensis	0.000127832	0.000635324	0.000103132
Ruminococcus callidus	1.15e-05	3.25e-05	0.000822441
Bacteroides faecis CAG:32	0.000713243	0.000124457	2.98e-05
Clostridia bacterium UC5.1-2D9	8.72e-05	0.000590006	0.000197596
Blautia obeum	7.64e-05	0.000455542	0.000352579
Alistipes indistinctus	2.33e-05	0.00030863	0.00055349
Parabacteroides phage YZ-2015a	0	0	0.000888644
uncultured Oscillibacter sp.	0.000161776	0.000590708	0.000145647
Achromatium sp. WMS1	0.000159201	0.000744654	0
Clostridium sp. CAG:81	2.23e-05	0.000717243	0.00017056
Enterobacteria phage P1	0.000139155	0.000730188	4.34e-05
Firmicutes bacterium CAG:83	3.82e-05	0.000250182	0.000631285
Ruminococcus gnavus CAG:126	9.33e-05	0.000759706	9.36e-05
Klebsiella sp. AA405	3.3e-05	0.000866104	5.52e-05
Bacteroides sp. CAG:189	7.06e-05	0.000179554	0.000708547
Anaerostipes hadrus	4.5e-05	0.000464672	0.000467861
[Eubacterium] eligens	0.000154921	0.000780992	4.55e-05
Oscillibacter sp. ER4	0.000268108	0.000477738	0.000246884
uncultured Butyricicoccus sp.	5.86e-05	0.000367583	0.000572142
[Ruminococcus] torques	6.63e-05	0.000525925	0.000417273
Atribacteria bacterium JGI 0000014-F07	0.000785342	0.000195465	2.91e-05
Bacteroides sp. I48	0.000390337	0.000323192	0.000300794
Morganella sp. GLFB	0.000992348	3.22e-05	0
Roseburia hominis	0.000125709	0.00078354	0.000118028
Kluyvera ascorbata	0.000957875	7.1e-05	0
Porphyromonas gingivalis	0	0	0.001042783
Fusobacterium nucleatum	0	0.00104354	0
Klebsiella oxytoca	9.57e-06	0.001041103	0
Prevotella sp. CAG:1320	0.000353075	8.23e-05	0.000652837
Eubacterium sp. CAG:581	5.96e-05	0.001029469	0
Porphyromonas somerae	0.000166178	0.00017695	0.000756132
Prevotella bivia	0.000281358	0.000477307	0.000346391
Hungatella hathewayi	0.000519735	0.00053553	5.82e-05
Clostridium perfringens	1e-05	0.000364785	0.000739982
Onygena corvina	0.000113214	0.00100162	0
Parasutterella excrementihominis CAG:233	7.99e-05	0.000817487	0.000241004
Bifidobacterium pseudocatenulatum	0.000147502	0.000919059	7.21e-05
Veillonella parvula	5.35e-05	0.001015818	7.08e-05
Parabacteroides gordonii	3.82e-05	0.000901164	0.000203406
Bacteroides sp. CAG:98	0.000389186	0.000732977	2.92e-05
Prevotella sp. P5-125	6.03e-05	0.000946961	0.000152544
Dorea formicigenerans	4.91e-05	0.000784537	0.000330201
Prevotella sp. CAG:520	0	0.000826894	0.000339062
Enterobacteria phage SfI	0.000202192	0.000960158	3.11e-05
Bacteroides sp. N54.MGS-20	0.000104251	0.000309246	0.000780776
